SolarRad.,TempOut,OutHum,Hora
0,11.9,96,0
0,11.85,96.3333333333333,1
0,11.85,95.8333333333333,2
0,11.6,95.6666666666667,3
0,10,94.5,4
0,8.8,95,5
13.5,8.38333333333333,96.3333333333333,6
208.666666666667,10.0666666666667,97.8333333333333,7
512,13.4833333333333,89.1666666666667,8
351.666666666667,14.95,81.5,9
502,16.2333333333333,73.8333333333333,10
620.5,17.6833333333333,69.6666666666667,11
575.666666666667,19,64.8333333333333,12
551.833333333333,18.9,65.6666666666667,13
241.333333333333,17.1666666666667,70.3333333333333,14
212.5,16.5333333333333,71.6666666666667,15
92.3333333333333,15.9333333333333,72,16
17.3333333333333,13.633333333333301,84.1666666666667,17
0,13.1166666666667,84.8333333333333,18
0,12.3333333333333,88,19
0,11.633333333333301,91.3333333333333,20
0,11.1833333333333,92.6666666666667,21
0,10.4,93,22
0,10.4,94.6666666666667,23
0,10.7666666666667,95.3333333333333,0
0,10.7,95,1
0,9.91666666666667,94.8333333333333,2
0,9.41666666666667,95.6666666666667,3
0,9.86666666666667,96,4
0,10.1666666666667,96.3333333333333,5
15.5,9.86666666666667,96.5,6
144,10.8333333333333,96.3333333333333,7
218.333333333333,13.0333333333333,89.1666666666667,8
205.166666666667,14,84.8333333333333,9
428.333333333333,15.6166666666667,78.6666666666667,10
277.5,16.4666666666667,77.3333333333333,11
241.333333333333,15.5333333333333,81.6666666666667,12
321.666666666667,15.45,80.1666666666667,13
238.166666666667,15.5,81.1666666666667,14
175.666666666667,14.3,87.8333333333333,15
175.833333333333,14.0833333333333,86.6666666666667,16
47.3333333333333,14.1166666666667,84.1666666666667,17
0.833333333333333,12.9166666666667,89.6666666666667,18
0,11.7166666666667,91.1666666666667,19
0,11.7333333333333,92.6666666666667,20
0,11.8333333333333,91.6666666666667,21
0,11.9333333333333,88.8333333333333,22
0,11.1833333333333,89.8333333333333,23
0,9.71666666666667,90.8333333333333,0
0,8.5,93,1
0,8.11666666666667,94,2
0,7.53333333333333,94.8333333333333,3
0,7.35,96.1666666666667,4
0,7.4,95.6666666666667,5
29,7.01666666666667,96.5,6
263.166666666667,10.2333333333333,94.8333333333333,7
364.666666666667,14,81.3333333333333,8
513,15.7166666666667,75.8333333333333,9
696.166666666667,17.95,67,10
416.5,17.85,64,11
513.333333333333,18.8333333333333,62,12
341,18.7333333333333,63.8333333333333,13
683,18.6,70.5,14
511.166666666667,19.15,60.8333333333333,15
253.666666666667,18.6166666666667,61.5,16
83.6666666666667,17.6333333333333,64.1666666666667,17
0.333333333333333,14.7,69.6666666666667,18
0,13.6166666666667,74.6666666666667,19
0,12.133333333333301,82,20
0,9.93333333333333,89,21
0,8.83333333333333,92.1666666666667,22
0,8.2,93.5,23
0,7.61666666666667,94.3333333333333,0
0,7.76666666666667,95.8333333333333,1
0,7.95,95.8333333333333,2
0,7.25,95,3
0,6.45,95.5,4
0,6.23333333333333,96.1666666666667,5
19,7.18333333333333,97,6
138.333333333333,8.23333333333333,97.3333333333333,7
391.833333333333,10.5166666666667,95.8333333333333,8
686,14.8333333333333,82.6666666666667,9
890.833333333333,16.9333333333333,75.3333333333333,10
554.166666666667,18.9666666666667,65.6666666666667,11
437.5,20.0166666666667,60.5,12
955.166666666667,22.9,50.8333333333333,13
379.666666666667,21.3666666666667,57,14
557.333333333333,20.9,62.8333333333333,15
294,18.7666666666667,68.3333333333333,16
26.3333333333333,16.8,72.3333333333333,17
0.166666666666667,15.8666666666667,76.6666666666667,18
0,15.0833333333333,78.8333333333333,19
0,14.45,82.6666666666667,20
0,13.95,85.5,21
0,13.0166666666667,89,22
0,12.0833333333333,89.6666666666667,23
0,11.65,91.8333333333333,0
0,11.5166666666667,92,1
0,11.2833333333333,92.6666666666667,2
0,11.133333333333301,93,3
0,9.95,93.5,4
0,9.73333333333333,94.5,5
11.5,8.66666666666667,94.3333333333333,6
100.333333333333,9.5,96.5,7
416.5,13.0833333333333,88.1666666666667,8
642.833333333333,15.6166666666667,77.6666666666667,9
792.333333333333,17.7,66.8333333333333,10
852.333333333333,19.6333333333333,60,11
487,20.9166666666667,52.8333333333333,12
417.166666666667,21.5833333333333,49.3333333333333,13
268.833333333333,20.3833333333333,57.3333333333333,14
556,20.2333333333333,66,15
292.833333333333,19.2833333333333,67.5,16
38.1666666666667,16.6,75.6666666666667,17
0,11.4,92.3333333333333,18
0,11.5,94.5,19
0,11.5,95.5,20
0,11.35,95.5,21
0,11.5,96.1666666666667,22
0,11.85,96,23
0,11.9166666666667,96,0
0,11.7833333333333,96,1
0,11.7333333333333,96.3333333333333,2
0,11.5833333333333,96,3
0,11.6166666666667,96.8333333333333,4
0,11.6666666666667,96.3333333333333,5
9.16666666666667,11.5833333333333,95.8333333333333,6
75.1666666666667,12.05,94.3333333333333,7
202.666666666667,13.3,88,8
379,15.4166666666667,74.5,9
415.166666666667,16.8333333333333,66.1666666666667,10
325,17,67.5,11
446,18.3666666666667,61,12
397.166666666667,18.7,61.3333333333333,13
569.833333333333,19.65,58.6666666666667,14
307.333333333333,20.0833333333333,56.6666666666667,15
323.333333333333,20.4666666666667,56.1666666666667,16
86,19.05,60.3333333333333,17
0.5,15.0833333333333,74.6666666666667,18
0,13.05,85.3333333333333,19
0,11.65,89.1666666666667,20
0,11.5,91.6666666666667,21
0,10.7333333333333,92.5,22
0,9.71666666666667,93.1666666666667,23
0,8.51666666666667,93.6666666666667,0
0,7.56666666666667,94.5,1
0,7.15,95.3333333333333,2
0,6.55,95.6666666666667,3
0,7.63333333333333,96.8333333333333,4
0,7.18333333333333,93.8333333333333,5
10.3333333333333,5.85,94.5,6
142,7.21666666666667,96.8333333333333,7
374.333333333333,9.63333333333333,95.8333333333333,8
683.333333333333,13.6833333333333,81.1666666666667,9
849,16.5666666666667,70.8333333333333,10
988.666666666667,19.05,60,11
677.166666666667,20.0333333333333,55,12
410.833333333333,19.85,54,13
514.666666666667,21.2166666666667,55.8333333333333,14
122.666666666667,18.35,72,15
128.833333333333,15.15,87.6666666666667,16
97.3333333333333,16.65,78.6666666666667,17
0.833333333333333,13.8166666666667,89,18
0,12.383333333333301,91.8333333333333,19
0,11.9333333333333,93.3333333333333,20
0,11.75,93.5,21
0,11.2833333333333,94.5,22
0,11.6,94.6666666666667,23
0,11.5,93.3333333333333,0
0,11.0333333333333,93.3333333333333,1
0,10.5833333333333,94.6666666666667,2
0,10.95,93.3333333333333,3
0,11.1,92.3333333333333,4
0,9.83333333333333,93,5
16,8.73333333333333,94.3333333333333,6
141.166666666667,10.4166666666667,94.3333333333333,7
206,13.15,84.1666666666667,8
331.833333333333,14.3,80,9
467,15.883333333333301,74.3333333333333,10
625,17.4,65.5,11
926.333333333333,18.7666666666667,60.1666666666667,12
971.333333333333,20.2666666666667,53.5,13
752.166666666667,21.3333333333333,49.1666666666667,14
274.666666666667,21.1,50.1666666666667,15
9.16666666666667,15.95,77.3333333333333,16
17.5,13.1833333333333,94,17
1.66666666666667,13.0666666666667,91.5,18
0,12.1666666666667,91.6666666666667,19
0,11.383333333333301,93.8333333333333,20
0,10.9333333333333,94.3333333333333,21
0,10.75,95.8333333333333,22
0,10.9,94.8333333333333,23
0,11.05,95.1666666666667,0
0,10.9333333333333,95.1666666666667,1
0,10.9333333333333,95.8333333333333,2
0,10.8166666666667,96,3
0,10.7333333333333,96,4
0,11.0833333333333,95,5
18.5,11.25,94.8333333333333,6
169.166666666667,12.2666666666667,88.1666666666667,7
249.5,13.9666666666667,82.8333333333333,8
293.333333333333,15.2,77.6666666666667,9
690.666666666667,16.9166666666667,72.3333333333333,10
873.333333333333,19.4333333333333,61.3333333333333,11
822.333333333333,20.4166666666667,57.3333333333333,12
267,19.2666666666667,63.3333333333333,13
237.833333333333,17.6833333333333,72.5,14
148.333333333333,15.1833333333333,85.1666666666667,15
27.5,13.95,90.6666666666667,16
0.833333333333333,13.3666666666667,91.5,17
0,12.2666666666667,91.8333333333333,18
0,12.15,93.3333333333333,19
0,12.0333333333333,92.6666666666667,20
0,11.8333333333333,93.8333333333333,21
0,11.7,94.3333333333333,22
0,10.7166666666667,93.8333333333333,23
0,9.85,95,0
0,10.3,95,1
0,10.2666666666667,95.6666666666667,2
0,10.1,96,3
0,9.86666666666667,96.1666666666667,4
0,9.85,96,5
16.8333333333333,9.28333333333333,96,6
152.333333333333,9.61666666666667,96.6666666666667,7
469.166666666667,13.2,87.5,8
564.333333333333,15.3166666666667,79.3333333333333,9
797,16.8166666666667,74.1666666666667,10
979.333333333333,18.85,67.1666666666667,11
1010.33333333333,20.4833333333333,56,12
851,21.45,50.5,13
285.333333333333,20.4666666666667,55.1666666666667,14
38.3333333333333,14.25,78.8333333333333,15
47,14.25,88.6666666666667,16
36.5,14.15,90.3333333333333,17
1.83333333333333,13.6666666666667,92.1666666666667,18
0,12.5,91.5,19
0,12.1166666666667,93.6666666666667,20
0,12.2666666666667,92.5,21
0,12.4166666666667,90.1666666666667,22
0,12.1,91.1666666666667,23
0,11.8666666666667,91.3333333333333,0
0,11.6833333333333,92.6666666666667,1
0,11.7,93.1666666666667,2
0,11.633333333333301,92.6666666666667,3
0,9.88333333333333,93.6666666666667,4
0,8.68333333333333,94.8333333333333,5
15.1666666666667,8.88333333333333,96.1666666666667,6
80.3333333333333,11,94.8333333333333,7
193.333333333333,12.75,87.8333333333333,8
318.5,14.6,81.6666666666667,9
354.833333333333,16.5166666666667,73.8333333333333,10
370,16.5333333333333,69.6666666666667,11
431.5,16.8,67.1666666666667,12
369.166666666667,16.9333333333333,65.5,13
279.833333333333,16.9166666666667,65.1666666666667,14
230.333333333333,16.8,65.8333333333333,15
244.333333333333,17.55,62,16
98.3333333333333,17.2,65,17
0.333333333333333,13.9166666666667,77.6666666666667,18
0,12.8,81,19
0,11.7333333333333,84.8333333333333,20
0,11.1833333333333,87.1666666666667,21
0,9.58333333333333,90.5,22
0,9.33333333333333,93.5,23
0,10.0166666666667,93.5,0
0,11.0333333333333,91.5,1
0,11.6166666666667,88.8333333333333,2
0,11.4666666666667,90.1666666666667,3
0,11.5,89.5,4
0,11.2,88,5
22.5,10.5166666666667,89.1666666666667,6
117.5,11.5,88.1666666666667,7
