"Latitude.DD","Longitude.DD","SamplePosition","pH","EC.dSm","NH4.ppm","NO3.ppm","K2O.ppm","P2O5.ppm","SOC.pct","Sand.pct","Silt.pct","Clay.pct"
5.62646,-73.63412,"OutsideGreenhouse",7.56,0.54,8.84,7.48,303.05,339.28,1.51,28.8,32.96,38.24
5.67968,-73.62343,"InsideGreenhouse",6.85,8.15,46.03,86.95,474.59,1297.23,1.73,28.62,31,40.38
5.67968,-73.62343,"OutsideGreenhouse",5.31,0.32,23.18,4.09,74.43,475.29,2.64,32.73,22.83,44.44
5.62474,-73.59042,"InsideGreenhouse",7.22,3.02,39.1,45.89,462.04,213.91,0.64,28.83,28.87,42.29
5.62474,-73.59042,"OutsideGreenhouse",4.59,1.76,0.3,10.58,14.87,92.57,0.07,26.17,32.06,41.77
5.62104,-73.59815,"InsideGreenhouse",5.97,3.04,0.19,21.93,383.53,112.77,0.81,27.35,18.57,54.08
5.62104,-73.59815,"OutsideGreenhouse",7.24,0.56,0.23,7.45,82.38,155.79,1.48,35.19,20.66,44.15
5.62326,-73.61322,"InsideGreenhouse",6.04,3.45,0.22,18.72,287.35,488.84,1.9,18.57,30.94,50.48
5.62326,-73.61322,"OutsideGreenhouse",6.95,0.42,0.35,4.07,45.37,75.31,1.3,10.77,28.8,60.43
5.61935,-73.59302,"InsideGreenhouse",7.55,3.05,0.28,27.12,289.65,474.94,0.88,35.1,22.71,42.18
5.61935,-73.59302,"OutsideGreenhouse",7.61,1.74,0.12,18.74,65.01,96.09,0.08,33.77,3.87,62.36
5.66261,-73.58071,"InsideGreenhouse",6.58,3.34,28.84,89.91,450.76,940.81,1.09,26.94,38.96,34.09
5.66261,-73.58071,"OutsideGreenhouse",6.38,0.44,9.83,4.07,67.69,327.94,1.03,24.97,45.02,30.01
5.66613,-73.55704,"InsideGreenhouse",4.4,0.48,36.84,35.47,187.31,118.23,0.56,37.78,35.09,27.13
5.66613,-73.55704,"OutsideGreenhouse",4.75,0.14,13.59,3.4,38.27,93.8,0.36,33.95,36.99,29.06
5.68396,-73.5046,"InsideGreenhouse",4.71,3.31,34.39,261.33,251.84,321.67,3.68,34.19,29.21,36.61
5.68396,-73.5046,"OutsideGreenhouse",5.04,0.15,11.38,2.41,31.46,161.12,4.35,40.17,29.3,30.54
5.64318,-73.56898,"InsideGreenhouse",7.05,4.06,22.12,49.34,641.8,775.98,1.6,24.69,32.97,42.34
5.64318,-73.56898,"OutsideGreenhouse",6.52,0.32,6.11,3.39,491.73,412.69,1.72,18.83,30.84,50.32
5.6578,-73.57273,"InsideGreenhouse",3.93,1.62,71.58,88.62,190.13,168.39,0.3,55.15,18.76,26.1
5.6578,-73.57273,"OutsideGreenhouse",4.71,0.11,7.48,3.74,48.83,98.69,0.86,35.96,34.97,29.07
5.66042,-73.5825,"InsideGreenhouse",7.11,2.04,16.89,30.41,316.23,106.78,1.2,32.3,38.8,28.9
5.66042,-73.5825,"OutsideGreenhouse",5.23,0.6,7.83,6.81,43.19,373.82,3.89,12.48,43.15,44.37
5.65975,-73.56848,"InsideGreenhouse",7.53,3.34,58.03,27.31,216.75,350.41,0.79,33.64,3.88,62.48
5.65975,-73.56848,"OutsideGreenhouse",7.56,1.56,25.84,12.06,60.47,104.53,0.18,4.17,67.81,28.03
5.65957,-73.56709,"InsideGreenhouse",7.69,2.21,24.16,48.33,228.42,114.77,1.38,20.51,47.28,32.21
5.65957,-73.56709,"OutsideGreenhouse",7.77,0.52,7.53,11.63,30.06,121.95,1.29,31.03,34.18,34.79
5.66135,-73.58025,"InsideGreenhouse",6.92,1.94,27.58,49.98,418.82,516.36,2.78,24.34,24.12,51.54
5.66135,-73.58025,"OutsideGreenhouse",7.86,0.54,8.22,11.64,130.29,191.48,1.82,20.75,42.39,36.86
5.62419,-73.55083,"InsideGreenhouse",5.22,4.11,72.88,144.06,317.3,606.61,2.68,15.46,21.69,62.85
5.62419,-73.55083,"OutsideGreenhouse",6.08,0.62,11.87,7.46,146.95,890.97,2.29,29.63,21.7,48.67
5.56617,-73.53345,"InsideGreenhouse",7.64,1.81,34.46,43.07,437.15,245.22,2.08,11.99,44.73,43.28
5.56617,-73.53345,"OutsideGreenhouse",7.98,0.31,11.34,5.84,199.54,201.94,1.59,14.32,44.59,41.09
