"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"PA01","Santander","Survey","ValleSanJose",-73.11488,6.48086,1140,7500,84,1.2,1.2,268.8,733.77,0.0282,0,0
"PA02","Santander","Survey","Paramo",-73.12845,6.47393,1120,5000,98,1.6,7.6,161.28,732.74,0.009,0.023,0.03
"PA03","Santander","Survey","Paramo",-73.1957,6.38538,1427,2500,112,1.2,4.8,460.8,865.15,0.03384,0.04383,0.03274
"PA04","Santander","Survey","Paramo",-73.17046,6.34847,1433,5000,112,1,1.6,403.2,821.3,0.01606,0.01824,0.01852
"PA05","Santander","Survey","Paramo",-73.1928,6.39005,1800,1200,112,2.1,5.83,672,803.45,0.01406,0.02128,0.02102
"PA06","Santander","Survey","Paramo",-73.1707,6.38896,1418,2500,112,2,3,967.68,917.13,0.03104,0.03453,0.03945
"PA08","Santander","Survey","Paramo",-73.13233,6.47059,1244,15000,105,1.1,1.6,1088.64,910.45,0.01191,0.02132,0.01662
"PA09","Santander","Survey","Paramo",-73.13505,6.47044,1284,5000,105,1.6,7,1555.2,589.14,0.01248,0.017,0.01548
"PA10","Santander","Survey","ValleSanJose",-73.07372,6.477,1239,15000,84,0.7,1.03,193.54,884.65,0.01723,0.03189,0.01152
"PA11","Santander","Survey","ValleSanJose",-73.08745,6.48252,1218,7500,112,1.2,5.87,2032.13,917.13,0.01,0.01362,0.00787
"PA12","Santander","Survey","ValleSanJose",-73.09689,6.48195,1696,2500,112,1.5,4,204.29,912.12,0.00618,0.00623,0.00643
"PA13","Santander","Survey","ValleSanJose",-73.09155,6.48346,1224,2500,112,2.2,3.2,812.85,890.89,0.0163,0.02126,0.02006
"PA15","Santander","Survey","Paramo",-73.17968,6.4031,1607,5000,112,1.2,7.2,1102.08,851.32,0.00071,0.00063,0.00079
"PA16","Santander","Survey","Paramo",-73.20046,6.39734,1905,7500,112,0.9,10.67,179.2,714.79,0.00646,0.00301,0.0127
"PA17","Santander","Survey","Paramo",-73.19412,6.38737,1865,2500,112,1.6,8,314.88,1090.66,0.00295,0.00779,0.00552
"PA18","Santander","Survey","Paramo",-73.18388,6.4191,1923,10000,112,1.3,1.4,413.28,895,0.00146,0.00072,0.00076
"PA19","Santander","Survey","Paramo",-73.19498,6.38685,1870,7500,112,0.8,2.67,0,917.13,0.00332,0.00166,0.00351
"PA20","Santander","Survey","Paramo",-73.19344,6.38768,1867,5000,112,1.1,6,0,895.44,0.00647,0.00064,0.00117
"PA21","Santander","Survey","Paramo",-73.17812,6.38382,1852,10000,112,1.3,6,275.52,878.17,0.00312,0.00267,0.00033
"PA22","Santander","Survey","Curiti",-73.03548,6.61859,1718,2000,126,1.2,3.3,32.4,995.1,0.00783,0.01653,0.00674
"PA23","Santander","Survey","Curiti",-73.03164,6.61951,1793,3500,126,1.2,1.89,22.22,1018.98,0.00172,0.0044,0.00194
"PA24","Santander","Survey","Paramo",-73.11909,6.404559,1606,2000,126,1.2,8,479.52,990.76,0.0314,0.0378,0.0348
"PA25","Santander","Survey","SanGil",-73.12493,6.50242,1440,2300,98,1.7,6.7,1287.39,798.1,0.0045,0.00841,0.01193
"PA26","Santander","Survey","Paramo",-73.11733,6.47839,1740,4000,98,2,3.3,450.58,820.73,0.04572,0.06272,0.04105
"PA27","Santander","Survey","Pinchote",-73.2009,6.5217,1641,5000,112,1,11.88,975.42,872.6,0.01184,0.01673,0.01644
"PA28","Santander","Survey","Curiti",-73.03619,6.61923,1716,2500,126,2,1.76,105.75,978.86,0.043,0.02148,0.0502
"PA29","Santander","Survey","SanGil",-73.12645,6.5069,1743,8000,112,1.2,4.95,406.08,875.73,0.0593,0.09443,0.0755
"PA30","Santander","Survey","Curiti",-73.03683,6.62024,1618,5000,126,1.2,8,259.2,1001.59,0.01464,0.02689,0.01554
"PA31","Santander","Survey","Curiti",-73.03403,6.61835,1743,5000,133,1.3,8.8,656.64,967.71,0.00161,0.00338,0.00359
"PA32","Santander","Survey","Curiti",-73.03229,6.61765,1740,2500,112,1.8,5.4,420.25,851.32,0.00512,0.01084,0.0046
"PA34","Santander","Survey","Paramo",-73.16953,6.38865,1410,1030,112,1.9,7.96,2066.89,915.11,0.01275,0.0224,0.01342
"PA35","Santander","Survey","Paramo",-73.15575,6.44967,1174,5050,112,1.2,5.94,0,896.01,0.01848,0.0141,0.02254
"PA38","Santander","Survey","Paramo",-73.17107,6.38399,1430,21350,112,1.2,4.83,237.06,916.79,0.01862,0.0185,0.04448
"PA39","Santander","Survey","Curiti",-73.07996,6.3967,1464,1320,112,1.1,7.95,136.15,909.94,0.00375,0.00744,0.01452
"PA40","Santander","Survey","Curiti",-73.0802778,6.596333,1462,3900,119,1.1,2.56,8.62,916.79,0.00642,0.00931,0.00746
"PA41","Santander","Survey","Paramo",-73.168333,6.411194,1408,13500,119,1.3,3.7,102.4,942.01,0.03225,0.0376,0.02995
"PA43","Santander","Survey","Paramo",-73.167306,6.379972,1246,2826,126,1.7,3.11,27.52,846.8,0.0441,0.04418,0.05292
"PA44","Santander","Survey","SanGil",-73.12704,6.50982,1180,5200,112,1.1,5.92,8.08,958.03,0.04453,0.0805,0.07031
"PA46","Santander","Survey","Paramo",-73.167944,6.421944,1328,7550,119,1.7,2.62,0,1020.71,0.07008,0.07537,0.06855
"PA48","Santander","Survey","Paramo",-73.20054,6.40085,1875,5000,126,0.6,3.7,0,995.1,0.01147,0.01562,0.00764
"PA49","Santander","Survey","Paramo",-73.19962,6.40438,1881,1050,140,1.1,6.67,0,1120.23,0.04173,0.06098,0.04661
"PA50","Santander","Survey","Paramo",-73.20037,6.39046,1880,4000,126,0.9,2.75,0,1014.3,0.00511,0.00886,0.00781
"PA51","Santander","Survey","SanGil",-73.13552,6.48548,1230,15000,112,1.2,6.67,104.6,846.8,0.01139,0.01216,0.02226
"PA52","Santander","Survey","Paramo",-73.17037,6.42733,1323,3300,126,1.2,1.97,904.84,915.13,0.03705,0.04658,0.03664
"PA53","Santander","Survey","Paramo",-73.181667,6.410806,1475,2625,126,1.5,4.57,0,1003.14,0.03037,0.0707,0.05097
"PA54","Santander","Survey","Paramo",-73.20338,6.40266,1854,2872,112,1.4,2.79,0,918.34,0.0371,0.02267,0.04453
"PA55","Santander","Survey","Curiti",-73.08633,6.59886,1477,4500,112,1.2,3.56,288,919.67,0.01032,0.01622,0.0281
"PA57","Santander","Survey","Paramo",-73.14081,6.46966,1394,13169,112,0.8,3.64,637.72,911.98,0.00548,0.00818,0.00698
"PA58","Santander","Survey","Paramo",-73.20092,6.40339,1873,2051,140,1.5,2.93,0,1060.45,0.03181,0.01686,0.03793
"PA59","Santander","Survey","SanGil",-73.126278,6.506889,1162,2300,112,1.5,3.48,100.17,870.31,0.0485,0.09421,0.0585
"PA60","Santander","Survey","Paramo",-73.20066,6.400519,1871,3950,112,1.7,3.54,0,919.67,0.04427,0.02752,0.05648
"PA61","Santander","Survey","Paramo",-73.14021,6.41917,1886,8520,112,1.2,2.82,237.97,870.48,0.00636,0.00892,0.01289
"PA62","Santander","Survey","Paramo",-73.0817,6.28434,1180,1800,126,1.4,3.61,162,995.73,0.02729,0.02005,0.03637
"PA63","Santander","Survey","Paramo",-73.10591,6.21945,1565,3000,126,1.5,3,48.6,995.73,0.02575,0.0399,0.0097
"PA64","Santander","Survey","Paramo",-73.10482,6.24081,1400,5530,112,1.4,3.62,50,1068.16,0.0105,0.01324,0.0129
"PA65","Santander","Survey","Paramo",-73.10643,6.22163,1555,1860,126,1.5,5.38,668.9,982.21,0.01471,0.02697,0.01885
"PA66","Santander","Survey","Paramo",-73.10941,6.21953,1585,2190,126,1.3,5.37,497.1,1016.59,0.01231,0.01443,0.02618
"PA67","Santander","Survey","Paramo",-73.12074,6.23294,1930,2400,140,1.2,4.67,0,1109.77,0.02997,0.0383,0.03447
"PA68","Santander","Survey","Paramo",-73.10812,6.23405,1536,3500,112,0.9,2.63,230.4,884.37,0.02076,0.02265,0.0205
"PA69","Santander","Survey","Paramo",-73.11803,6.24089,1865,4600,126,0.5,1.63,0,910.64,0.01408,0.01587,0.0113
"PA70","Santander","Survey","Paramo",-73.10957,6.22595,1546,2540,112,1.1,3.15,217.7,903.54,0.02351,0.00661,0.02664
"PA71","Santander","Survey","Paramo",-73.10784,6.2216,1568,1950,112,1.1,3.59,472.62,890.89,0.03025,0.04058,0.02976
"PA72","Santander","Survey","Paramo",-73.12084,6.23975,1878,5000,126,1.1,1.8,0,940.99,0.0146,0.01868,0.01028
"PA73","Santander","Survey","Paramo",-73.11915,6.23585,1880,3100,126,1.1,3.06,0,990.76,0.0131,0.01475,0.01294
"PA74","Santander","Survey","Paramo",-73.10827,6.2464,1549,4500,112,1.1,2.67,409.6,900.97,0.04158,0.03121,0.02786
"PA75","Santander","Survey","Paramo",-73.11268,6.23395,1762,4000,112,0.8,3.25,259.2,875.73,0.02387,0.02045,0.01135
"PA76","Santander","Survey","Paramo",-73.11442,6.24365,1746,2500,126,1.1,3.2,0,955.44,0.05078,0.0957,0.0347
"PA77","Santander","Survey","Paramo",-73.10121,6.24553,1406,5400,112,1.1,3.33,403.2,900.97,0.01079,0.00892,0.00985
"PA78","Santander","Survey","Paramo",-73.08621,6.28583,1543,2500,112,1.2,4.8,645.12,892.31,0.03157,0.04814,0.02768
"PA79","Santander","Survey","Paramo",-73.10304,6.25171,1427,4600,112,1.1,3.04,210.37,859.12,0.01207,0.01539,0.00843
"PA80","Santander","Survey","Paramo",-73.16782,6.44524,1385,2500,112,1.2,1.2,2150.4,910.45,0.00369,0,0.0037
"PA11_1_1","Santander","FollowUps","ValleSanJose",-73.08745,6.48252,1218,1850,105,2,8.1,249.12,230.98,0.03185,0.04484,0.07257
"PA27_1_1","Santander","FollowUps","Pinchote",-73.2009,6.5217,1641,2500,108,1.4,4.8,202.17,232.57,0.01886,0.02581,0.06776
"PA27_2_1","Santander","FollowUps","Pinchote",-73.2009,6.5217,1641,4275,164,1.4,12.7,136.67,423.47,0.03165,0.02029,0.049
"PA33_1_1","Santander","FollowUps","Curiti",-73.08303,6.59635,1475,3200,102,1.4,6.6,311.85,230.98,0.02062,0.04161,0.05388
"PA33_2_1","Santander","FollowUps","Curiti",-73.08303,6.59635,1475,3500,123,1.1,7.7,16.44,235.94,0.0324,0.04954,0.05211
"PA34_1_1","Santander","FollowUps","Paramo",-73.16953,6.38865,1410,1100,98,1.1,2.4,816.9,204.69,0.01705,0.01966,0.01975
"PA34_1_2","Santander","FollowUps","Paramo",-73.16953,6.38865,1410,1200,112,1.2,4.4,129.6,209.92,0.0264,0.04385,0.03343
"PA34_2_1","Santander","FollowUps","Paramo",-73.16953,6.38865,1410,3500,109,1.1,3.5,54.52,244.78,0.01049,0.02078,0.01041
"PA35_2_1","Santander","FollowUps","Paramo",-73.15575,6.44967,1174,4000,107,0.9,3.8,0,310.13,0.00478,0.01012,0.01219
"PA35_2_2","Santander","FollowUps","Paramo",-73.15575,6.44967,1174,3000,125,0.7,3.5,5.58,240.93,0.00457,0.00611,0.00738
"PA36_1_1","Santander","FollowUps","Paramo",-73.1591944,6.42730556,1263,2150,104,1.4,2.9,48.21,229.1,0.02939,0.01681,0.02295
"PA37_1_1","Santander","FollowUps","Paramo",-73.1794167,6.4136111,1554,6912,93,1.5,8.8,142.52,201.11,0.03877,0.07079,0.06152
"PA37_1_4","Santander","FollowUps","Paramo",-73.1794167,6.4136111,1554,7000,91,1.1,4.5,39.48,221.16,0.02725,0.02423,0.03218
