"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P138","Boyaca","Survey","Tinjaca",-73.65493,5.59992,2240,4410,212,2.5,18.14,982.63,0,0.06499,0.08167,0.08169
"P14","Boyaca","Survey","SantaSofia",-73.60449,5.7078,2389,1300,214,3.1,13.85,259.2,0,0.0981,0.0414,0.0316
"P140","Boyaca","Survey","Sutamarchan",-73.59666,5.62389,2122,1680,212,3.2,9.52,444.27,0,0.02778,0.03704,0.03459
"P141","Boyaca","Survey","Sutamarchan",-73.59037,5.62454,2103,2520,183,2.8,15.87,1036.63,0,0.0752,0.09882,0.1089
"P144","Boyaca","Survey","Sachica",-73.56109,5.60486,2136,1050,188,2.9,6.86,1382.17,0,0.1318,0.18948,0.1814
"P145","Boyaca","Survey","Sachica",-73.54588,5.59446,2120,2240,182,2.9,13.84,518.31,0,0.012,0.016,0.006
"P146","Boyaca","Survey","Sachica",-73.54455,5.58949,2153,2800,212,3.3,6.43,907.05,0,0.1554,0.09421,0.1911
"P149","Boyaca","Survey","Sachica",-73.53899,5.58539,2163,3360,182,3.6,17.86,518.31,0,0.06207,0.06306,0.0883
"P15","Boyaca","Survey","SantaSofia",-73.60014,5.73195,2336,5040,143,2.2,7.94,182.86,0,0.01738,0.03059,0.02349
"P150","Boyaca","Survey","Sutamarchan",-73.59492,5.62418,2097,3430,188,2.5,10.5,1209.4,0,0.07317,0.0407,0.0581
"P151","Boyaca","Survey","Sachica",-73.53574,5.57294,2199,2240,212,3.1,26.79,1842.89,0,0.06525,0.08832,0.11043
"P153","Boyaca","Survey","Sachica",-73.53548,5.56788,2217,2240,243,3.3,13.39,1579.62,0,0.03374,0.0599,0.10231
"P155","Boyaca","Survey","Sachica",-73.53748,5.56863,2270,2240,182,3.1,16.07,907.06,0,0.04087,0.06307,0.0634
"P156","Boyaca","Survey","Sachica",-73.54379,5.56696,2198,840,183,3.6,23.81,302.36,0,0.03742,0.042,0.04931
"P157","Boyaca","Survey","Sachica",-73.54776,5.56897,2216,2800,181,2.7,20,691.08,0,0.0576,0.07404,0.1157
"P158","Boyaca","Survey","Sachica",-73.55006,5.57493,2207,1680,184,3,23.81,240.65,0,0.08343,0.12001,0.08322
"P159","Boyaca","Survey","Sachica",-73.55133,5.57387,2225,2520,245,3.6,21.94,1313.07,0,0.0817,0.08881,0.1286
"P16","Boyaca","Survey","SantaSofia",-73.6049,5.70811,2394,1488,149,3,12.1,432,0,0.06114,0.05508,0.06951
"P161","Boyaca","Survey","Sutamarchan",-73.60832,5.62988,2105,2184,184,3.2,18.32,518.31,0,0.1309,0.06195,0.1378
"P162","Boyaca","Survey","Sutamarchan",-73.6144,5.62347,2112,3360,150,3,6.55,485.51,0,0.09013,0.08797,0.12703
